Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,CustomerCount,OrdersPerCustomer,Mean,Error,StdDev,Allocated
GetCustomerSummary_pengdows_IndexedView,Job-DCNSPX,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,50,5,Default,Default,Default,Default,Default,Default,Default,Default,1,3,1000,10,481.8 μs,24.22 μs,3.75 μs,12.42 KB
GetCustomerSummary_EntityFramework_Aggregation,Job-DCNSPX,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,50,5,Default,Default,Default,Default,Default,Default,Default,Default,1,3,1000,10,433.0 μs,90.21 μs,13.96 μs,19.57 KB
GetCustomerSummary_EntityFramework_WithWorkaround,Job-DCNSPX,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,50,5,Default,Default,Default,Default,Default,Default,Default,Default,1,3,1000,10,695.3 μs,109.28 μs,16.91 μs,25.27 KB
GetCustomerSummary_DirectSQL_IndexedView,Job-DCNSPX,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,50,5,Default,Default,Default,Default,Default,Default,Default,Default,1,3,1000,10,260.0 μs,82.47 μs,21.42 μs,6.98 KB
GetCustomerSummary_pengdows_IndexedView,Job-DCNSPX,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,50,5,Default,Default,Default,Default,Default,Default,Default,Default,1,3,5000,10,465.9 μs,26.62 μs,6.91 μs,12.43 KB
GetCustomerSummary_EntityFramework_Aggregation,Job-DCNSPX,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,50,5,Default,Default,Default,Default,Default,Default,Default,Default,1,3,5000,10,409.2 μs,47.88 μs,12.43 μs,19.68 KB
GetCustomerSummary_EntityFramework_WithWorkaround,Job-DCNSPX,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,50,5,Default,Default,Default,Default,Default,Default,Default,Default,1,3,5000,10,673.9 μs,54.23 μs,8.39 μs,25.26 KB
GetCustomerSummary_DirectSQL_IndexedView,Job-DCNSPX,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,50,5,Default,Default,Default,Default,Default,Default,Default,Default,1,3,5000,10,231.8 μs,17.04 μs,4.43 μs,7.01 KB
